team,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,team_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,date,won
SAS,240,46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,119,,DAL,240,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,126,,2023-10-25,0.0
POR,240,44,93,0.473,10,32,0.313,13,17,0.765,15,25,40,20,10,4,17,20,111,,LAC,240,47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,11,7,17,20,123,,2023-10-25,0.0
LAC,240,47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,11,7,17,20,123,,POR,240,44,93,0.473,10,32,0.313,13,17,0.765,15,25,40,20,10,4,17,20,111,,2023-10-25,1.0
PHI,240,41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,,MIL,240,41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,,2023-10-26,0.0
MIL,240,41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,,PHI,240,41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,,2023-10-26,1.0
PHO,240,34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,20,21,95,,LAL,240,36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,100,,2023-10-26,0.0
LAL,240,36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,100,,PHO,240,34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,20,21,95,,2023-10-26,1.0
DEN,240,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,17,18,108,,MEM,240,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,20,23,104,,2023-10-27,1.0
MEM,240,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,20,23,104,,DEN,240,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,17,18,108,,2023-10-27,0.0
DET,240,40,88,0.455,10,30,0.333,21,25,0.84,12,41,53,28,7,6,23,29,111,,CHO,240,33,88,0.375,7,28,0.25,26,34,0.765,11,30,41,20,13,7,18,23,99,,2023-10-27,1.0
CHO,240,33,88,0.375,7,28,0.25,26,34,0.765,11,30,41,20,13,7,18,23,99,,DET,240,40,88,0.455,10,30,0.333,21,25,0.84,12,41,53,28,7,6,23,29,111,,2023-10-27,0.0
NYK,240,43,90,0.478,20,44,0.455,20,28,0.714,12,33,45,30,9,6,16,21,126,,ATL,240,42,87,0.483,12,32,0.375,24,30,0.8,9,35,44,28,7,6,14,20,120,,2023-10-27,1.0
ATL,240,42,87,0.483,12,32,0.375,24,30,0.8,9,35,44,28,7,6,14,20,120,,NYK,240,43,90,0.478,20,44,0.455,20,28,0.714,12,33,45,30,9,6,16,21,126,,2023-10-27,0.0
OKC,240,40,87,0.46,13,26,0.5,15,19,0.789,6,41,47,22,8,10,18,17,108,,CLE,240,38,92,0.413,12,45,0.267,17,23,0.739,8,40,48,20,10,8,13,16,105,,2023-10-27,1.0
CLE,240,38,92,0.413,12,45,0.267,17,23,0.739,8,40,48,20,10,8,13,16,105,,OKC,240,40,87,0.46,13,26,0.5,15,19,0.789,6,41,47,22,8,10,18,17,108,,2023-10-27,0.0
MIA,240,38,89,0.427,16,33,0.485,19,23,0.826,11,34,45,24,8,6,12,16,111,,BOS,240,45,95,0.474,16,39,0.41,13,19,0.684,16,39,55,20,7,6,15,19,119,,2023-10-27,0.0
BOS,240,45,95,0.474,16,39,0.41,13,19,0.684,16,39,55,20,7,6,15,19,119,,MIA,240,38,89,0.427,16,33,0.485,19,23,0.826,11,34,45,24,8,6,12,16,111,,2023-10-27,1.0
TOR,265,39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,21,29,103,,CHI,265,37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,16,22,104,,2023-10-27,0.0
CHI,265,37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,16,22,104,,TOR,265,39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,21,29,103,,2023-10-27,1.0
HOU,265,52,100,0.52,8,32,0.25,10,20,0.5,11,32,43,30,7,2,18,26,122,,SAS,265,46,94,0.489,13,42,0.31,21,28,0.75,12,31,43,32,11,4,18,17,126,,2023-10-27,0.0
SAS,265,46,94,0.489,13,42,0.31,21,28,0.75,12,31,43,32,11,4,18,17,126,,HOU,265,52,100,0.52,8,32,0.25,10,20,0.5,11,32,43,30,7,2,18,26,122,,2023-10-27,1.0
BRK,240,45,92,0.489,21,43,0.488,9,10,0.9,10,37,47,30,5,4,15,28,120,,DAL,240,44,91,0.484,15,36,0.417,22,28,0.786,8,32,40,20,5,2,9,15,125,,2023-10-27,0.0
DAL,240,44,91,0.484,15,36,0.417,22,28,0.786,8,32,40,20,5,2,9,15,125,,BRK,240,45,92,0.489,21,43,0.488,9,10,0.9,10,37,47,30,5,4,15,28,120,,2023-10-27,1.0
LAC,240,41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,14,22,118,,UTA,240,42,96,0.438,16,41,0.39,20,22,0.909,17,28,45,27,7,4,14,24,120,,2023-10-27,0.0
UTA,240,42,96,0.438,16,41,0.39,20,22,0.909,17,28,45,27,7,4,14,24,120,,LAC,240,41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,14,22,118,,2023-10-27,1.0
ORL,240,36,79,0.456,9,28,0.321,21,32,0.656,10,35,45,22,10,5,14,16,102,,POR,240,35,88,0.398,9,32,0.281,18,21,0.857,15,32,47,15,6,1,16,24,97,,2023-10-27,1.0
POR,240,35,88,0.398,9,32,0.281,18,21,0.857,15,32,47,15,6,1,16,24,97,,ORL,240,36,79,0.456,9,28,0.321,21,32,0.656,10,35,45,22,10,5,14,16,102,,2023-10-27,0.0
GSW,240,48,87,0.552,14,32,0.438,12,14,0.857,7,32,39,32,14,3,19,24,122,,SAC,240,41,94,0.436,12,40,0.3,20,29,0.69,10,31,41,24,10,3,14,16,114,,2023-10-27,1.0
SAC,240,41,94,0.436,12,40,0.3,20,29,0.69,10,31,41,24,10,3,14,16,114,,GSW,240,48,87,0.552,14,32,0.438,12,14,0.857,7,32,39,32,14,3,19,24,122,,2023-10-27,0.0
CHI,240,39,93,0.419,11,28,0.393,13,16,0.813,13,20,33,16,10,5,8,20,102,,DET,240,45,86,0.523,12,28,0.429,16,20,0.8,15,38,53,29,4,4,15,18,118,,2023-10-28,0.0
DET,240,45,86,0.523,12,28,0.429,16,20,0.8,15,38,53,29,4,4,15,18,118,,CHI,240,39,93,0.419,11,28,0.393,13,16,0.813,13,20,33,16,10,5,8,20,102,,2023-10-28,1.0
MEM,240,39,91,0.429,19,47,0.404,9,9,1.0,6,39,45,27,7,8,16,21,106,,WAS,240,40,93,0.43,16,46,0.348,17,22,0.773,11,34,45,24,9,5,11,15,113,,2023-10-28,0.0
WAS,240,40,93,0.43,16,46,0.348,17,22,0.773,11,34,45,24,9,5,11,15,113,,MEM,240,39,91,0.429,19,47,0.404,9,9,1.0,6,39,45,27,7,8,16,21,106,,2023-10-28,1.0
NYK,240,33,90,0.367,7,37,0.189,14,18,0.778,16,43,59,19,7,3,18,17,87,,NOP,240,40,87,0.46,9,33,0.273,7,16,0.438,4,39,43,20,8,5,13,22,96,,2023-10-28,0.0
NOP,240,40,87,0.46,9,33,0.273,7,16,0.438,4,39,43,20,8,5,13,22,96,,NYK,240,33,90,0.367,7,37,0.189,14,18,0.778,16,43,59,19,7,3,18,17,87,,2023-10-28,1.0
IND,240,48,98,0.49,15,38,0.395,14,17,0.824,11,37,48,36,3,4,7,20,125,,CLE,240,43,99,0.434,12,31,0.387,15,24,0.625,18,33,51,29,2,6,6,16,113,,2023-10-28,1.0
CLE,240,43,99,0.434,12,31,0.387,15,24,0.625,18,33,51,29,2,6,6,16,113,,IND,240,48,98,0.49,15,38,0.395,14,17,0.824,11,37,48,36,3,4,7,20,125,,2023-10-28,0.0
PHI,240,43,86,0.5,10,28,0.357,18,21,0.857,9,33,42,25,8,7,9,18,114,,TOR,240,38,87,0.437,17,32,0.531,14,19,0.737,13,28,41,28,5,5,13,19,107,,2023-10-28,1.0
TOR,240,38,87,0.437,17,32,0.531,14,19,0.737,13,28,41,28,5,5,13,19,107,,PHI,240,43,86,0.5,10,28,0.357,18,21,0.857,9,33,42,25,8,7,9,18,114,,2023-10-28,0.0
MIA,240,35,87,0.402,12,38,0.316,8,14,0.571,9,33,42,24,6,1,14,12,90,,MIN,240,44,86,0.512,12,34,0.353,6,8,0.75,7,40,47,30,9,3,14,17,106,,2023-10-28,0.0
MIN,240,44,86,0.512,12,34,0.353,6,8,0.75,7,40,47,30,9,3,14,17,106,,MIA,240,35,87,0.402,12,38,0.316,8,14,0.571,9,33,42,24,6,1,14,12,90,,2023-10-28,1.0
UTA,240,40,91,0.44,12,37,0.324,12,14,0.857,15,30,45,26,6,5,18,20,104,,PHO,240,45,85,0.529,10,37,0.27,26,28,0.929,7,32,39,31,10,7,11,19,126,,2023-10-28,0.0
PHO,240,45,85,0.529,10,37,0.27,26,28,0.929,7,32,39,31,10,7,11,19,126,,UTA,240,40,91,0.44,12,37,0.324,12,14,0.857,15,30,45,26,6,5,18,20,104,,2023-10-28,1.0
DEN,240,53,88,0.602,11,27,0.407,11,13,0.846,10,38,48,34,8,5,13,21,128,,OKC,240,37,90,0.411,6,32,0.188,15,18,0.833,7,22,29,22,8,4,9,14,95,,2023-10-29,1.0
OKC,240,37,90,0.411,6,32,0.188,15,18,0.833,7,22,29,22,8,4,9,14,95,,DEN,240,53,88,0.602,11,27,0.407,11,13,0.846,10,38,48,34,8,5,13,21,128,,2023-10-29,0.0
